Text,Sentiment,cleaned_text
"Kickers on my watchlist XIDE TIT SOQ PNK CPW BPZ AJ  trade method 1 or method 2, see prev posts",1,kickers on my watchlist xide tit soq pnk cpw bpz aj trade method 1 or method 2 see prev posts
user: AAP MOVIE. 55% return for the FEA/GEED indicator just 15 trades for the year.  AWESOME.  ,1,user aap movie. 55% return for the feageed indicator just 15 trades for the year. awesome.
user I'd be afraid to short AMZN - they are looking like a near-monopoly in eBooks and infrastructure-as-a-service,1,user id be afraid to short amzn they are looking like a nearmonopoly in ebooks and infrastructureasaservice
MNTA Over 12.00  ,1,mnta over 12.00
OI  Over 21.37  ,1,oi over 21.37
PGNX  Over 3.04  ,1,pgnx over 3.04
AAP - user if so then the current downtrend will break. Otherwise just a short-term correction in med-term downtrend.,-1,aap user if so then the current downtrend will break. otherwise just a shortterm correction in medterm downtrend.
Monday's relative weakness. NYX WIN TIE TAP ICE INT BMC AON C CHK BIIB  ,-1,mondays relative weakness. nyx win tie tap ice int bmc aon c chk biib
GOOG - ower trend line channel test & volume support.   ,1,goog ower trend line channel test volume support.
AAP will watch tomorrow for ONG entry.,1,aap will watch tomorrow for ong entry.
i'm assuming FCX opens tomorrow above the 34.25 trigger buy. still very much like this setup.  ,1,im assuming fcx opens tomorrow above the 34.25 trigger buy. still very much like this setup.
"It really worries me how everyone expects the market to rally now,usually exact opposite happens every time we shall see soon bac spx jpm",1,it really worries me how everyone expects the market to rally nowusually exact opposite happens every time we shall see soon bac spx jpm
AAP GAMCO's arry Haverty : Apple Is Extremely Cheap  Great Video !!!,1,aap gamcos arry haverty apple is extremely cheap great video
user Maykiljil posted that.  I agree that MSFT is going higher & possibly north of 30,1,user maykiljil posted that. i agree that msft is going higher possibly north of 30
Momentum is coming back to ETFC Broke MA200 resistance on solid volume Friday. ong set-up  ,1,momentum is coming back to etfc broke ma200 resistance on solid volume friday. ong setup
HA Hitting 35.65 means resume targeting 42 level ..  ,1,ha hitting 35.65 means resume targeting 42 level ..
user gameplan shot for today but I liked  on trend break from May or c+h break. OC weekly trend break back to july 2011,1,user gameplan shot for today but i liked on trend break from may or ch break. oc weekly trend break back to july 2011
with FCX gapping well above ideal entry looking for a pull in to at least 35 on open for an entry,1,with fcx gapping well above ideal entry looking for a pull in to at least 35 on open for an entry
"user great list again, particularly like FISV and SYK. All buy & hold types should check the free list out.  ",1,user great list again particularly like fisv and syk. all buy hold types should check the free list out.
ATHX upper trend line   ,1,athx upper trend line
NG - nice PNF BY - breakout - need follow thru  ,1,ng nice pnf by breakout need follow thru
Won't believe AAP uptrend is back until it crosses above MA(50),-1,wont believe aap uptrend is back until it crosses above ma50
X swing still on   ,1,x swing still on
SWY - 30% of float short and breaking out - ouch,1,swy 30% of float short and breaking out ouch
BIOF wants 4.90's comin!!!,1,biof wants 4.90s comin
VS inverted head and shoulder play out well. Wasn't able to catch the entry. Eyes on it  ,1,vs inverted head and shoulder play out well. wasnt able to catch the entry. eyes on it
" red, not ready for break out.",-1,red not ready for break out.
EI close to breaking out now.  My trigger is at 30.40.   ,1,ei close to breaking out now. my trigger is at 30.40.
user BAC For a quick Trade to late..But for investing ~11.98 is a good entry point IMHO,1,user bac for a quick trade to late..but for investing 11.98 is a good entry point imho
"CHDN - ong   49.02. Trailing Stop  56.66 from 6 prior Stops of 54.17, 49.88, 49.82, 45.47, 43.02 & 41.92 -  ",1,chdn ong 49.02. trailing stop 56.66 from 6 prior stops of 54.17 49.88 49.82 45.47 43.02 41.92
AAP VOME today is impressive. At this rate and well probably get to 30M shares traded today.,1,aap vome today is impressive. at this rate and well probably get to 30m shares traded today.
"user: been adding VXY long off the bottom today for trade, also got WPI near low",-1,user been adding vxy long off the bottom today for trade also got wpi near low
"I repeat, if global economy is going to get better this year go with C instead of BAC",1,i repeat if global economy is going to get better this year go with c instead of bac
GOOG go ONG on close above 725.,1,goog go ong on close above 725.
NKD looking like a good short. Failed to break price level resistance at 116 today.,-1,nkd looking like a good short. failed to break price level resistance at 116 today.
GS like the price action. So far holding above 130. Still deciding whether to go ONG calls or stocks.,1,gs like the price action. so far holding above 130. still deciding whether to go ong calls or stocks.
SBX buy when it clears resistance at 54.5,1,sbx buy when it clears resistance at 54.5
here is NEW up target for AAP and notice shakeout reading at -8.49 ! and we had buy dot Monday  ,1,here is new up target for aap and notice shakeout reading at 8.49 and we had buy dot monday
Too early to short into this move. Stock Market needs a few days to settle down. #Patience  COH BWD DT AAP PAY,-1,too early to short into this move. stock market needs a few days to settle down. patience coh bwd dt aap pay
AAP obbers hit Apple Store in Paris.  Prefer to take merchendise over cash.  Bullish.  ,1,aap obbers hit apple store in paris. prefer to take merchendise over cash. bullish.
AXA Here is my tip of the day. Buy now! You do not even have to sign up for a newsletter or anything O If I'm wrong I will eat crow :),1,axa here is my tip of the day. buy now you do not even have to sign up for a newsletter or anything o if im wrong i will eat crow
X out the 1/2 due to the move today and the Kirby on the daily around 26.00 - still swinging 1/2  ,1,x out the 12 due to the move today and the kirby on the daily around 26.00 still swinging 12
"AAP 10 min short won now longs have fully added in, look for a pop here with market,shakeout reset  ",1,aap 10 min short won now longs have fully added in look for a pop here with marketshakeout reset
NG stellar move - still long swing - full position - I believe user & user in it 2  ,1,ng stellar move still long swing full position i believe user user in it 2
ATICE & TADE SETP:  KO AN CNX,1,atice tade setp ko an cnx
IDCC 50SMA acting as a good support. Short-term momentum indicators have switched to the upside.  ,1,idcc 50sma acting as a good support. shortterm momentum indicators have switched to the upside.
"NEW POST: BAC Is At 19 Month Highs, But Showing Signs of Stress  ",1,new post bac is at 19 month highs but showing signs of stress
c two daily  bull flags on top of each other=bullish still  ,1,c two daily bull flags on top of each otherbullish still
NG - traditional and AT point and figure - bullish BY signals multiyear high  ,1,ng traditional and at point and figure bullish by signals multiyear high
jpm closed>10sma on Monday(u know my rules)...large cup n handle....still bullish  ,1,jpm closed10sma on mondayu know my rules...large cup n handle....still bullish
EOG ascending triangle - original target 127 extension EPS Feb 11th? 1/2 position swing  ,1,eog ascending triangle original target 127 extension eps feb 11th 12 position swing
